2006-11-28 | 27 | 13 | 10 | EPADBDM | COMUNICADO 55/06-SMS.3
ACOMPANHAMENTO DA EVOLUCAO DOS PRECOS REGISTRADOS, PARA FINS DO DISPOSTO NO ART. 14 DO DEC. 46.662, DE 24/11/05:
ATAS DE REGISTRO DE PRECOS - SMS.G - NOVEMBRO/06
ATA	ITEM	OBJETO	PRECO/R$
191/06	1.4	LIMA KERR 21MM - 1ª SERIE - N° 20 - CX. C/ 06 UN	13,50/CX
191/06	1.5	LIMA KERR 21MM - 1ª SERIE - N° 25 - CX. C/ 06 UN	13,50/CX
191/06	1.6	LIMA KERR 21MM - 1ª SERIE - N° 30 - CX. C/ 06 UN	13,50/CX
191/06	1.7	LIMA KERR 21MM - 1ª SERIE - N° 35 - CX. C/ 06 UN	13,50/CX
191/06	1.8	LIMA KERR 21MM - 1ª SERIE - N° 40 - CX. C/ 06 UN	13,50/CX
191/06	2.1	LIMA KERR 21MM - 2ª SERIE - N° 45 - CX. C/ 06 UN	13,50/CX
191/06	2.2	LIMA KERR 21MM - 2ª SERIE - N° 50 - CX. C/ 06 UN	13,50/CX
191/06	2.3	LIMA KERR 21MM - 2ª SERIE - N° 55 - CX. C/ 06 UN	13,50/CX
191/06	2.4	LIMA KERR 21MM - 2ª SERIE - N° 60 - CX. C/ 06 UN	13,50/CX
191/06	2.5	LIMA KERR 21MM - 2ª SERIE - N° 70 - CX. C/ 06 UN	13,50/CX
191/06	2.6	LIMA KERR 21MM - 2ª SERIE - N° 80 - CX. C/ 06 UN	13,50/CX
191/06	1.9	LIMA KERR 25MM - 1ª SERIE - N° 08 - CX. C/ 06 UN	13,50/CX
191/06	1.10	LIMA KERR 25MM - 1ª SERIE - N° 10 - CX. C/ 06 UN	13,50/CX
191/06	1.11	LIMA KERR 25MM - 1ª SERIE - N° 15 - CX. C/ 06 UN	13,50/CX
191/06	1.12	LIMA KERR 25MM - 1ª SERIE - N° 20 - CX. C/ 06 UN	13,50/CX
191/06	1.13	LIMA KERR 25MM - 1ª SERIE - N° 25 - CX. C/ 06 UN	13,50/CX
191/06	1.14	LIMA KERR 25MM - 1ª SERIE - N° 30 - CX. C/ 06 UN	13,50/CX
191/06	1.15	LIMA KERR 25MM - 1ª SERIE - N° 35 - CX. C/ 06 UN	13,50/CX
191/06	1.16	LIMA KERR 25MM - 1ª SERIE - N° 40 - CX. C/ 06 UN	13,50/CX
191/06	2.7	LIMA KERR 25MM - 2ª SERIE - N° 45 - CX. C/ 06 UN	13,50/CX
191/06	2.8	LIMA KERR 25MM - 2ª SERIE - N° 50 - CX. C/ 06 UN	13,50/CX
191/06	2.9	LIMA KERR 25MM - 2ª SERIE - N° 55 - CX. C/ 06 UN	13,50/CX
191/06	2.10	LIMA KERR 25MM - 2ª SERIE - N° 60 - CX. C/ 06 UN	13,50/CX
191/06	2.11	LIMA KERR 25MM - 2ª SERIE - N° 70 - CX. C/ 06 UN	13,50/CX
191/06	2.12	LIMA KERR 25MM - 2ª SERIE - N° 80 - CX. C/ 06 UN	13,50/CX
191/06	1.17	LIMA KERR 31MM - 1ª SERIE - N° 08 - CX. C/ 06 UN	13,50/CX
191/06	1.18	LIMA KERR 31MM - 1ª SERIE - N° 10 - CX. C/ 06 UN	13,50/CX
191/06	1.19	LIMA KERR 31MM - 1ª SERIE - N° 15 - CX. C/ 06 UN	13,50/CX
191/06	1.20	LIMA KERR 31MM - 1ª SERIE - N° 20 - CX. C/ 06 UN	13,50/CX
191/06	1.21	LIMA KERR 31MM - 1ª SERIE - N° 25 - CX. C/ 06 UN	13,50/CX
191/06	1.22	LIMA KERR 31MM - 1ª SERIE - N° 30 - CX. C/ 06 UN	13,50/CX
191/06	1.23	LIMA KERR 31MM - 1ª SERIE - N° 35 - CX. C/ 06 UN	13,50/CX
191/06	1.24	LIMA KERR 31MM - 1ª SERIE - N° 40 - CX. C/ 06 UN	13,50/CX
191/06	2.13	LIMA KERR 31MM - 2ª SERIE - N° 45 - CX. C/ 06 UN	13,50/CX
191/06	2.14	LIMA KERR 31MM - 2ª SERIE - N° 50 - CX. C/ 06 UN	13,50/CX
191/06	2.15	LIMA KERR 31MM - 2ª SERIE - N° 55 - CX. C/ 06 UN	13,50/CX
191/06	2.16	LIMA KERR 31MM - 2ª SERIE - N° 60 - CX. C/ 06 UN	13,50/CX
191/06	2.17	LIMA KERR 31MM - 2ª SERIE - N° 70 - CX. C/ 06 UN	13,50/CX
191/06	2.18	LIMA KERR 31MM - 2ª SERIE - N° 80 - CX. C/ 06 UN	13,50/CX
192/05	1	FITA ADESIVA MICROPOROSA 25MM X 10M - CX. C/ 48 UN	1,08/UN
192/05	2	FITA ADESIVA MICROPOROSA 50MM X 10M - CX. C/ 24 UN	2,1093/UN
192/06	1	AGULHA P/ COLETA MULTIPLA 25X7MM - CX. C/ 100 UN	0,20/UN
192/06	2	AGULHA P/ COLETA MULTIPLA 25X8MM - CX. C/ 100 UN	0,21/UN
192/06	3	DISPOSITIVO TIPO SCALP 25G	1,7320/UN
192/06	4	TUBO COLETA DE SANGUE  9,0ML-COR VERM.-CX.C/100 TB	0,21/UN
193/06	1	TUBO COLETA DE SANGUE  4,5ML-COR AZUL-CX.C/ 100 TB	0,3790/UN
194/05	1	CONES GUTA PERCHA R7 - CX. C/ 120 CONES	10,90/CX
194/05	2	CONES GUTA PERCHA R8 - CX. C/ 120 CONES	10,90/CX
194/05	3	CONES GUTA PERCHA RS - CX. C/ 120 CONES	10,90/CX
194/06	2	TUBO COLETA DE SANGUE 4,0ML-COR CINZA-CX.C/100 TB	0,2789/UN
195/06	1	PRESERVATIVO MASCULINO C/ LUBRIFICANTE - CX. C/144 UN	0,1048/UN
196/05	2	ATADURA GESSADA 10CM X 3M - CX. C/ 20 UN	0,4590/UN
196/05	1	ATADURA GESSADA 8CM X 2M - CX. C/ 20 UN	0,28/UN
196/06	1	ACIDO ACETICO A 2% - CX. C/ 15 FR. 1.000 ML	14,30/FR
196/06	2	ACIDO ACETICO A 5% - CX. C/ 15 FR. 1.000 ML	15,22/FR
196/06	3	ACIDO TRICLOROACETICO 0,5G/ML - CX. C/ 50 FR. 20 ML	8,30/FR
196/06	4	ACIDO TRICLOROACETICO 0,9G/ML - CX. C/ 50 FR. 20 ML	12,00/FR
196/06	5	ASSOC.IODO 50MG/ML+IODETO POT.100MG/MLCX.8FR.1000ML	62,40/FR
196/06	6	SOL. PODOFILINA TINTUTA BENJOIM 150MG/ML-CX.50 FR.20ML	9,60/FR
197/05	1	CEFALEXINA 50MG/ML SUSPENSAO - CX. C/ 50 FR 60 ML	1,8874/FR
197/06	2	CITRATO DE FENTANILA 0,0785MG/ML - CX. C/ 50 AMP.10ML	1,2852/AMP
197/06	1	ETOMIDATO 2MG/ML  - CX. C/ 25 AMP.10ML	5,55/AMP
197/06	4	FOSFATO DE CODEINA 30MG - CX. C/ 30 CP	0,5280/CP
197/06	5	FOSFATO DE CODEINA 3MG/ML - CX. C/ 01 FR. 120ML	19,19/FR
197/06	3	NALBUFINA 10MG/ML - CX. C/ 10 AMP. 1ML	8,21/AMP
198/05	2	BENZILPENICLINA BENZATINA 600.000 UI - CX. C/ 50 FAM + DIL.	0,92/FAM
198/06	1	KIT DE FIOS PARA EPSIORRAFIA - CX. C/ 12 ENV	6,20/KIT
199/05	3	BENZILPENICLINA POTASSICA 5.000.000 UI - CX. C/ 50 FAM	2,44/FAM
199/06	1	TUBO LATEX 5MMX3MM P/GARROTEAMENTO-ROLO C/15M	0,37/M
200/05	4	ASS.BENZILP.POT100.000UI  BENZILP.PROC300.000UI-CX.C/50	0,75/FAM
200/06	7	KITS CALCADORES TIPO PAIVA 	12,10/KIT
200/06	5	PINCA ENDODONTICA	5,62/UN
200/06	1.2	PINCA HEMOSTATICA TIPO MOSQUITO - CURVA	11,60/UN
200/06	1.1	PINCA HEMOSTATICA TIPO MOSQUITO - RETA	11,50/UN
200/06	8	SONDA TIPO RHEIN N° 03	3,20/UN
200/06	2	TESOURA CIRURGICA PONTA CURVA IRIS	8,32/UN
201/05	6	CEFAZOLINA PO P/ SOL INJ. 1.000MG - CX. C/ 50 FAM	1,485/FAM
201/05	5	CEFTAZIDIMA PO P/ SOL. INJ. 1.000MG - CX. C/ 50 FAM	3,35/FAM
201/06	1	ANFOTERICINA B 50MG- CX. C/ 25FAM + 25AMP. C/ 10ML	11,10/FAM
202/06	2	FLUCONAZOL 150MG -  CX. C/ 50 CAP.	0,2230/CAP
203/05	3	DICLOFENACO SODICO SOL. 25MG/ML - CX. C/ 50 AMP. 3ML	0,20/AMP
203/06	3	SULFADIAZINA DE PRATA CREME 10MG/G - CX. C/ 01FR. 100G	7,45/FR
204/05	4	SUCCINATO SOD. METILPRED.500MG-CX.C/25 FAM+DIL.	17,83/FAM
204/06	5	ACICLOVIR 0,03G/G - CX. C/ 01 BNG C/ 4,5 G	46,81/BNG
205/05	5	ACETATO DEXAMETASONA CREME 1MG/G - CX. C/50 BNG 10G	0,65/BNG
205/06	5	BISTURI DE ORBAN N° 17/18	5,93/UN
205/06	1	CUBETA EM ACO INOX 8CM	5,50/UN
205/06	4	GENGIVOTOMO DE KIRLAND N° 15/16	5,00/UN
205/06	7.1	PORTA AGULHA MATHIEUX 14CM	18,60/UN
205/06	7.2	PORTA AGULHA MAYO HEGAR 14CM	10,79/UN
206/05	6	ESCOPOLAMINA SOL. ORAL 10MG/ML - CX.C/ 01 FR. 20 ML	2,31/FR
206/06	6	AFASTADOR CIRURGICO TIPO MINNESOTA	7,00/UN
206/06	2	CURETA ALVEOLAR TIPO LUCAS N° 86	3,75/UN
206/06	3.1	FORCEPS ODONTOLOGICO N° 01	25,49/UN
206/06	3.2	FORCEPS ODONTOLOGICO N° 150	25,49/UN
206/06	3.3	FORCEPS ODONTOLOGICO N° 151	25,49/UN
206/06	3.7	FORCEPS ODONTOLOGICO N° 16	25,49/UN
206/06	3.4	FORCEPS ODONTOLOGICO N° 17	25,49/UN
206/06	3.5	FORCEPS ODONTOLOGICO N° 18L	25,49/UN
206/06	3.6	FORCEPS ODONTOLOGICO N° 18R	25,49/UN
206/06	3.10	FORCEPS ODONTOLOGICO N° 210H	25,49/UN
206/06	3.11	FORCEPS ODONTOLOGICO N° 210S	25,49/UN
206/06	3.12	FORCEPS ODONTOLOGICO N° 222	25,49/UN
206/06	3.8	FORCEPS ODONTOLOGICO N° 65	25,49/UN
206/06	3.9	FORCEPS ODONTOLOGICO N° 69	25,49/UN
207/06	1	FIO SINT.MULTIF.TRAN.3-0,AG.1/2CIR.TRIAN.2,0CM-CX.C/38ENV	5,32/ENV
207/06	3	FIO SINT.MULTIF.TRAN.3-0,AG.3/8CIR.TRIAN.2,0CM-CX.C/38ENV	4,77/ENV
208/06	2	FIO SINT.MULTIF.TRAN.3-0,AG.1/2CIR.CILIN.2,0CM-CX.C/24ENV	4,50/UN
208/06	8	FIO SINT.MULTIF.TRAN.4-0,AG.1/2CIR.CILIN.1,5CM-CX.C/24ENV	4,30/UN
209/05	3	ASSOC. ENAN.NOR.50MG/ML E VAL.ESTRA.5MG/ML-SER.1ML	11,90/SER.
209/06	4	FIO SINT.MULTIF.TRAN.3-0,AG.1/2CIRC.CILIN.2,5CM - CX.C/24UN	3,90/UN
209/06	6	FIO SINT.MULTIF.TRAN.3-0,AG.1/2CIRC.CILIN.3,5CM - CX.C/24UN	3,86/UN
209/06	5	FIO SINT.MULTIF.TRAN.3-0,AG.3/8CIRC.CILIN.3,0CM - CX.C/24UN	3,89/UN
209/06	10	FIO SINT.MULTIF.TRAN.4-0,AG.1/2CIRC.CILIN.2,0CM - CX.C/24UN	4,14/UN
210/05	5	PRAVASTINA 20MG - CX. C/ 30 CP	0,57/CP
210/06	7	FIO SINT.MULTIF.TRAN.4-0,AG.1/2CIRC.TRIAN.1,5CM-CX.C/12UN	5,19/UN
210/06	9	FIO SINT.MULTIF.TRAN.4-0,AG.3/8CIR.TRIAN.1,95CM-CX.C/12UN	4,79/UN
211/06	1	FRALDA DESC. ADULTO - GRANDE (90KG) - PAC. C/ 08 UN	0,67/UN
211/06	2	FRALDA DESC. ADULTO - MEDIO (70KG) - PAC. C/ 08 UN	0,65/UN
212/05	2	CLARITROMICINA 500MG - CX. C/ 14 CP	0,7389/CP
212/06	1	IBUPROFENO 50MG/ML - CX. C/ 01 FR. 30ML	8,87/FR
213/05	3	FLUCONAZOL 100MG -  CX. C/ 08 CAP.	0,20/CAP
213/06	1	FIO SEDA 3-0, AG. 1/2 CIRC. TRIAN. 2CM - CX. C/24 ENV.	1,36/ENV
213/06	2	FIO SEDA 4-0, AG. 1/2 CIRC. TRIAN. 1,7CM - CX. C/24 ENV.	1,34/ENV
214/05	4	VITAMINAS DO COMPLEXO B - CX. C/ 200 DRG.	0,0297/DRG
214/06	4	AZUL DE TOLUIDINA SOLUCAO 1% - CX. C/ 50 FR.	6,85/FR
214/06	1	POLIETILENOGLICOL EM ALCOOL ETILICO - CX. C/ 50 FR.	5,47/FR
215/05	5	MEBENDAZOL 100MG - CX. C/ 300 CP	0,0376/CP
215/06	6	PASTA DAGUA - CX. C/ 24 FR. 100G	1,32/FR
216/06	2	PREDNISONA 20MG - CX. C/ 200 CP	0,0475/CP
216/06	1	PREDNISONA 5MG - CX. C/ 200 CP	0,0199/CP
217/05	3	ESCOVA GINECOLOGICA, ESTERIL	0,15/UN
217/05	1	ESPECULO VAGINAL DESC. PEQUENO	0,53/UN
218/06	5	ESPIRONOLACTONA 25MG - CX.C/ 30 CP	0,15/CP
219/05	2	CLORETO SODIO SOL. INJ. 0,9% - BOLSA 1.000 ML	2,63/UN
219/05	1	CLORETO SODIO SOL. INJ. 0,9% - BOLSA 500 ML	2,00/UN
219/05	3	GLICOSE SOL. INJ. 5% - BOLSA  100 ML	1,55/UN
219/06	1	FIO SINT.MULTIF.TRAN.5-0,AG.3/8CIR.TRIAN.1,65CM-CX.12ENV	6,49/ENV
220/05	7	GLICOSE SOL. INJ. 10%  250 ML - CX. C/ 30 FR.	2,05/UN
220/05	8	GLICOSE SOL. INJ. 10%  500 ML - CX. C/ 20 FR.	2,10/UN
220/05	6	GLICOSE SOL. INJ. 5%  1.000 ML - CX. C/ 10 FR.	2,80/UN
220/05	4	GLICOSE SOL. INJ. 5%  250 ML - CX. C/ 30 FR.	1,70/UN
220/05	5	GLICOSE SOL. INJ. 5%  500 ML - CX. C/ 20 FR.	1,80/UN
220/06	2	FIO SINT.MULTIF.TRAN.6-0, AG.1/2CIR. CIL.1,5CM - CX. 24ENV	4,65/ENV
221/05	1	HIPOCLORITO SODIO 1%-FR. C/ 1.000ML - CX. C/12 FR 1000ML	0,9450/FR
221/06	1.34	DENTE ANT.SUP.RES.ACRI.-TAM.263-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.35	DENTE ANT.SUP.RES.ACRI.-TAM.263-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.36	DENTE ANT.SUP.RES.ACRI.-TAM.263-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.37	DENTE ANT.SUP.RES.ACRI.-TAM.263-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.38	DENTE ANT.SUP.RES.ACRI.-TAM.264-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.39	DENTE ANT.SUP.RES.ACRI.-TAM.264-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.40	DENTE ANT.SUP.RES.ACRI.-TAM.264-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.41	DENTE ANT.SUP.RES.ACRI.-TAM.264-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.42	DENTE ANT.SUP.RES.ACRI.-TAM.266-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.43	DENTE ANT.SUP.RES.ACRI.-TAM.266-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.44	DENTE ANT.SUP.RES.ACRI.-TAM.266-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.45	DENTE ANT.SUP.RES.ACRI.-TAM.266-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.14	DENTE ANT.SUP.RES.ACRI.-TAM.2D-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.15	DENTE ANT.SUP.RES.ACRI.-TAM.2D-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.16	DENTE ANT.SUP.RES.ACRI.-TAM.2D-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.25	DENTE ANT.SUP.RES.ACRI.-TAM.2N-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.26	DENTE ANT.SUP.RES.ACRI.-TAM.2N-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.27	DENTE ANT.SUP.RES.ACRI.-TAM.2N-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.28	DENTE ANT.SUP.RES.ACRI.-TAM.2N-COR 67-PLACA C/06 UN	2,5357/PLAC.
221/06	1.29	DENTE ANT.SUP.RES.ACRI.-TAM.2N-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.17	DENTE ANT.SUP.RES.ACRI.-TAM.2P-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.18	DENTE ANT.SUP.RES.ACRI.-TAM.2P-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.19	DENTE ANT.SUP.RES.ACRI.-TAM.2P-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.20	DENTE ANT.SUP.RES.ACRI.-TAM.2P-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.24	DENTE ANT.SUP.RES.ACRI.-TAM.2P-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.1	DENTE ANT.SUP.RES.ACRI.-TAM.3D-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.2	DENTE ANT.SUP.RES.ACRI.-TAM.3D-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.3	DENTE ANT.SUP.RES.ACRI.-TAM.3D-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.4	DENTE ANT.SUP.RES.ACRI.-TAM.3D-COR 67-PLACA C/06 UN	2,5357/PLAC.
221/06	1.5	DENTE ANT.SUP.RES.ACRI.-TAM.3D-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.30	DENTE ANT.SUP.RES.ACRI.-TAM.3N-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.31	DENTE ANT.SUP.RES.ACRI.-TAM.3N-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.32	DENTE ANT.SUP.RES.ACRI.-TAM.3N-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.33	DENTE ANT.SUP.RES.ACRI.-TAM.3N-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.21	DENTE ANT.SUP.RES.ACRI.-TAM.3P-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.22	DENTE ANT.SUP.RES.ACRI.-TAM.3P-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.23	DENTE ANT.SUP.RES.ACRI.-TAM.3P-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.6	DENTE ANT.SUP.RES.ACRI.-TAM.A25-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.8	DENTE ANT.SUP.RES.ACRI.-TAM.A25-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.9	DENTE ANT.SUP.RES.ACRI.-TAM.A25-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.7	DENTE ANT.SUP.RES.ACRI.-TAM.A25-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	1.10	DENTE ANT.SUP.RES.ACRI.-TAM.A26-COR 62-PLACA C/06 UN	2,5357/PLAC.
221/06	1.11	DENTE ANT.SUP.RES.ACRI.-TAM.A26-COR 65-PLACA C/06 UN	2,5357/PLAC.
221/06	1.12	DENTE ANT.SUP.RES.ACRI.-TAM.A26-COR 66-PLACA C/06 UN	2,5357/PLAC.
221/06	1.13	DENTE ANT.SUP.RES.ACRI.-TAM.A26-COR 69-PLACA C/06 UN	2,5357/PLAC.
221/06	4.1	DENTE POST.INF.RES.ACRI.-TAM.30L-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	4.2	DENTE POST.INF.RES.ACRI.-TAM.30L-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	4.3	DENTE POST.INF.RES.ACRI.-TAM.30L-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	4.4	DENTE POST.INF.RES.ACRI.-TAM.30L-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	4.9	DENTE POST.INF.RES.ACRI.-TAM.32L-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	4.10	DENTE POST.INF.RES.ACRI.-TAM.32L-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	4.11	DENTE POST.INF.RES.ACRI.-TAM.32L-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	4.12	DENTE POST.INF.RES.ACRI.-TAM.32L-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	4.5	DENTE POST.INF.RES.ACRI.-TAM.32M-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	4.6	DENTE POST.INF.RES.ACRI.-TAM.32M-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	4.7	DENTE POST.INF.RES.ACRI.-TAM.32M-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	4.8	DENTE POST.INF.RES.ACRI.-TAM.32M-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	4.13	DENTE POST.INF.RES.ACRI.-TAM.34L-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	4.14	DENTE POST.INF.RES.ACRI.-TAM.34L-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	4.15	DENTE POST.INF.RES.ACRI.-TAM.34L-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	4.16	DENTE POST.INF.RES.ACRI.-TAM.34L-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	4.17	DENTE POST.INF.RES.ACRI.-TAM.3N-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	4.18	DENTE POST.INF.RES.ACRI.-TAM.3N-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	4.19	DENTE POST.INF.RES.ACRI.-TAM.3N-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	4.20	DENTE POST.INF.RES.ACRI.-TAM.3N-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	2.1	DENTE POST.SUP.RES.ACRI.-TAM.30L-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	2.2	DENTE POST.SUP.RES.ACRI.-TAM.30L-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	2.3	DENTE POST.SUP.RES.ACRI.-TAM.30L-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	2.4	DENTE POST.SUP.RES.ACRI.-TAM.30L-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	2.9	DENTE POST.SUP.RES.ACRI.-TAM.32L-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	2.10	DENTE POST.SUP.RES.ACRI.-TAM.32L-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	2.11	DENTE POST.SUP.RES.ACRI.-TAM.32L-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	2.12	DENTE POST.SUP.RES.ACRI.-TAM.32L-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	2.8	DENTE POST.SUP.RES.ACRI.-TAM.32M-COR 69-PLACA C/08 UN	2,5396/PLAC.
221/06	2.5	DENTE POST.SUP.RES.ACRI.-TAM.34L-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	2.6	DENTE POST.SUP.RES.ACRI.-TAM.34L-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	2.7	DENTE POST.SUP.RES.ACRI.-TAM.34L-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	2.13	DENTE POST.SUP.RES.ACRI.-TAM.3N-COR 62-PLACA C/08 UN	2,5396/PLAC.
221/06	2.14	DENTE POST.SUP.RES.ACRI.-TAM.3N-COR 65-PLACA C/08 UN	2,5396/PLAC.
221/06	2.15	DENTE POST.SUP.RES.ACRI.-TAM.3N-COR 66-PLACA C/08 UN	2,5396/PLAC.
221/06	2.16	DENTE POST.SUP.RES.ACRI.-TAM.3N-COR 69-PLACA C/08 UN	2,5396/PLAC.
222/05	3	COLAR CERVICAL TAMANHO G	4,39/UN
222/05	2	COLAR CERVICAL TAMANHO M	4,28/UN
222/05	1	COLAR CERVICAL TAMANHO P	4,24/UN
222/05	4	COLAR CERVICAL TAMANHO PP	4,39/UN
222/06	3	CLORIDRATO DE PETIDINA 50MG/ML -CX C/ 25 AMP 2ML	0,66/AMP
222/06		SULFATO DE MORFINA 10MG/ML - X. C/ 50 AMP. 1ML	0,83/AMP
223/05	1	CANULA ENDOTRAQUEAL DESC. C/ BALAO 5,0MM	3,2199/UN
223/05	2	CANULA ENDOTRAQUEAL DESC. C/ BALAO 6,0MM	3,1599/UN
223/05	3	CANULA ENDOTRAQUEAL DESC. C/ BALAO 6,5MM	3,1249/UN
223/05	4	CANULA ENDOTRAQUEAL DESC. C/ BALAO 7,0MM	2,8499/UN
223/05	5	CANULA ENDOTRAQUEAL DESC. C/ BALAO 8,0MM	2,8499/UN
223/05	6	CANULA ENDOTRAQUEAL DESC. C/ BALAO 8,5MM	2,8499/UN
223/06	2	FIO SINT.MULT.TRAN.0, AG.1/2 CIR.CILIN. 3,5CM-CX. C/ 36 ENV	4,00/ENV
223/06	4	FIO SINT.MULT.TRAN.0, AG.1/2 CIR.CILIN. 4,0CM-CX. C/ 36 ENV	3,99/ENV
223/06	3	FIO SINT.MULT.TRAN.0, AG.1/2 CIR.TRIAN. 3,5CM-CX. C/ 36 ENV	5,25/ENV
223/06	1	FIO SINT.MULT.TRAN.0, AG.3/8 CIR. 3,0CM-CX. C/ 36 ENV	4,25/ENV
223/06	5	FIO SINT.MULT.TRAN.1, AG.1/2 CIR.CILIN. 3,5CM-CX. C/ 36 ENV	4,40/ENV
223/06	6	FIO SINT.MULT.TRAN.1, AG.1/2 CIR.TRIAN. 3,5CM-CX. C/ 36 ENV	4,90/ENV
223/06	8	FIO SINT.MULT.TRAN.2-0, AG.1/2 CIR.CILIN.2,5CM-CX.C/36ENV	4,00/ENV
223/06	12	FIO SINT.MULT.TRAN.2-0, AG.1/2 CIR.CILIN.4,0CM-CX.C/36ENV	4,00/ENV
223/06	7	FIO SINT.MULT.TRAN.2-0, AG.1/2 CIR.TRIAN.2,0CM-CX.C/36ENV	4,98/ENV
223/06	9	FIO SINT.MULT.TRAN.2-0, AG.3/8 CIR.CILIN.3,0CM-CX.C/36ENV	4,00/ENV
223/06	10	FIO SINT.MULT.TRAN.2-0, AG.3/8 CIR.TRIAN.3,0CM-CX.C/36ENV	4,10/ENV
223/06	11	FIO SINT.MULT.TRAN.2-0, AG.5/8 CIR.CILIN.3,7CM-CX.C/36ENV	4,99/ENV
224/05	2	COLETOR PLASTICO UNIVERSAL DESC. 80/120 ML	0,132/UN
224/05	1	COLETOR PLASTICO UNIVERSAL DESC. ESTERIL 80/100 ML 	0,17/UN
224/06	5	ANEST. LIDOCAINA 3% E NOREPINEFRINA - CX.C/ 50 TB	0,28/TB
224/06	2	ANEST. MEPIVACAINA 2% C/ ADRENALINA - CX. C/ 50 TB	0,72/TB
224/06	3	ANEST. MEPIVACAINA 3% - CX. C/ 50 TB	0,72/TB
